,service_id,store_id,category,merchant_name,merchant_address,store_name,store_address,longitude,latitude,specific
1738,5712902886229892718,1556050612871301245,Coffee chains and Milk tea,Hộ kinh doanh Huy Tiến,"Lô G-25 tầng trệt, Trung tâm mua sắm Aeon Mall Khu phố Bình Giao, Phường Thuận Giao, Thị xã Thuận An, Bình Dương, VIỆT NAM",Gong Cha Aeon Mall Bình Dương,"1 Đại lộ Bình Dương, Khu 12, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương, VIỆT NAM",106.669539,10.781122,Cafe
1742,2099591234867156590,6779958339236330195,Mass Merchant,ĐÈN BẦU COFFEE,"2 Phú Thuận, Phường Tân Phú, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM",denbaucoffee123,MOMOPBIY20181123,106.7889713,,Mass Merchant
1744,6778625465845016942,8255610362200108661,Restaurant,Công Ty Cổ Phần Alfresco's Á Châu,"23L Hai Bà Trưng, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Al Fresco's Vincom Nguyễn Chí Thanh,"54 Nguyễn  Chí  Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội, VIỆT NAM",105.835541,21.005069,western
1762,4997437366315911536,2698729111385843262,Mass Merchant,Khay Coffee,"13 Hàng Khay, Phường Hàng Bài, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",Khay Coffee,"13 Hàng Khay, Phường Hàng Bài, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",106.6698416,10.7713435,Mass Merchant
1764,4541714328833055088,5972554838244765624,Mass Merchant,QUÁN MÓN HUẾ,"35 Nguyễn Chí Thanh, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội, VIỆT NAM",monhue123,MOMO5ERU20180819,,,Mass Merchant
1765,8602654454042294128,3673558303488156121,Mass Merchant,Delithy,"21 Ngõ Thái Hà Thái Hà, Phường Láng Hạ, Quận Đống Đa, Hà Nội, VIỆT NAM",delithy123,MOMOJZ9520180820,,,Mass Merchant
1766,9028382462624110704,2621838759340030614,Mass Merchant,CO PORT,"163/24/69 Tô Hiến Thành, Phường 13, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",CO PORT,"163/24/69 Tô Hiến Thành, Phường 13, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",106.7098832,10.740476199999998,Mass Merchant
1768,3855088784381494128,2101146520398305880,Mass Merchant,AA Stop & Shop,"53A Hồ Xuân Hương, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",aastopshop123,MOMO5QQ320181018,,,Mass Merchant
1770,3939716487280444528,6866875735863883662,Mass Merchant,HỘ KINH DOANH CAFE BERNARD,"2 Nguyễn Sơn Hà, Phường 5, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",cafebernard123,"2 Nguyễn Sơn Hà, Phường 5, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",105.813635,21.020796,Mass Merchant
1772,1551153095406971249,6627542588881041718,Mass Merchant,Nem nộm trường tâm,"105A5 tập thể Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội, VIỆT NAM",Nem nộm trường tâm 1,"105A5 tập thể  Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội, VIỆT NAM",105.8295687,21.0025042,Mass Merchant
1774,70962159902343026,2584439814501730449,Mass Merchant,CHÈ NGON BÉ CHUN 1,"68 Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội, VIỆT NAM",chebechun1,MOMO9GGL20181017,106.686734,10.767837,Mass Merchant
1776,6889877656216293490,5009481075780179864,Mass Merchant,CÔNG TY TNHH O'DOUCEURS VIỆT NAM,"Số 91A Trần Hưng Đạo, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM",O'Douceurs Bakery,"8 Phan Chu Trinh, Tràng Tiền, Hoàn Kiếm, Hà Nội, Việt Nam",,,Mass Merchant
1778,7697129851354317938,7944763912293615324,Mass Merchant,Nộm Gia Truyền Hoa Mai,"111A5 Thành Công, Phường Thành Công, Quận Ba Đình, Hà Nội, VIỆT NAM",nomgiatruyen1,MOMO2DWX20181018,105.830741,21.0052117,Mass Merchant
1780,4384392302835307890,321509516047034441,Mass Merchant,SHOWROOM TRÀ VIỆT - HCM,"278C Nam Kỳ Khởi Nghĩa, Phường 8, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",traviethcm,MOMO4SAK20181204,106.6945676,10.7676226,Mass Merchant
1781,6624136956482465650,2649602796964412598,Mass Merchant,vivastar99dt1,"99 Đất Thánh, Phường 6, Quận Tân Bình, Thành Phố Hồ Chí Minh, VIỆT NAM",vivastar99dt1,MOMOUH4E20181220,,,Mass Merchant
1785,6949141615268452466,1410090508832271433,Mass Merchant,Trà Sữa T - CAT,"3 Ngõ 3 Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội, VIỆT NAM",Trà Sữa T - CAT,"Số 3 Ngõ 3  Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội, VIỆT NAM",106.6883616,10.7983624,Mass Merchant
1787,7456266269222559602,3919938617765685815,Mass Merchant,THE HANGOVER COFFEE,"12 khu City Land Park Hill Số 7, Phường 10, Quận Gò Vấp, Thành Phố Hồ Chí Minh, VIỆT NAM",thehanggovercoffee1,MOMOAMRA20181108,105.794353,20.9799967,Mass Merchant
1788,5809869629066114418,1306959222625599753,Mass Merchant,MÌ VỊT TIỀM YAU CHAN,"Quầy 43-44-45 Asian Food Town, Số 4 Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",MÌ VỊT TIỀM YAUCHAN,"Quầy 43-44-45, Asian Food Town,số 4 PHẠM NGŨ LÃO, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",105.8096055,21.0197185,Mass Merchant
1790,4942158102627391859,6592247188127906713,Shopping,Công ty Cổ phần thế giới Phụ nữ,"25 Tôn Đản, phường 13, Quận 4, Hồ Chí Minh, Việt Nam",iBasic - CH CMT8,"1085 Cách Mạng Tháng 8, phường 7, Tân Bình, Hồ Chí Minh, Việt Nam",,,Shopping
1813,7600788770474338163,6695332988616626134,Mass Merchant,MR-9 COFFEE ,"284/4 Lý Thường Kiệt, Phường 15, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",mr9coffee123,MOMONY8J20180628,,,Mass Merchant
1814,2174143209820598132,1688849133052243345,Mass Merchant,WE' SCORNER COFFEE123,"1/3 pasteur, Phường Nguyễn Thái Bình, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",wesornercoffee123,MOMO0R6620181017,,,Mass Merchant
1816,5200059340788794229,8292835704955799289,Mass Merchant,CÔNG TY TNHH MỘT THÀNH VIÊN CƠM TẤM THUẬN KIỀU,"137A-137B Thuận Kiều, Phường 4, Quận 11, Thành Phố Hồ Chí Minh, VIỆT NAM",CƠM TẤM THUẬN KIỀU,"52 Đặng Đức Thuật, Phường Tân Phong, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM",105.8235602,21.0080319,Mass Merchant
1818,6285984312526878581,1148568050051663237,Mass Merchant,Hộ Kinh Doanh Phạm Huỳnh Như,"33B Lương Hữu Khánh, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Nước Ép Trái Cây Như,"33B Lương Hữu Khánh, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.7382072,,Mass Merchant
1820,8381598467327647093,9086031210379574120,Mass Merchant,Grand Coffee,"436 Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội, VIỆT NAM",grandcoffee1,MOMOBUMI20181113,,,Mass Merchant
1822,5254081703095251062,7482245785404659337,Mass Merchant,CÔNG TY CỔ PHẦN THỂ THAO BOOTH,"163 Phan Đăng Lưu, Phường 1, Quận Phú Nhuận, Thành Phố Hồ Chí Minh, VIỆT NAM",NEW BALANCE NGUYỄN TRÃI,"30 Nguyễn Trãi, Phường Bến Thành, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.69378600000002,10.770397,Mass Merchant
1844,5838998140969323638,727192585203919074,Mass Merchant,MR CAKE THÀNH THÁI,"150 Thành Thái, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",mrcake123,MOMOOWOG20180629,106.672318,10.816609,Mass Merchant
1846,5026386084788898935,6635662009264066696,Mass Merchant,CÔNG TY TNHH THƯƠNG MẠI XNK TRẦN LÊ GIA,"75-77 HỒ TÙNG MẬU, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",Uncle Lu's Cheesecake ,"652 SƯ VẠN HẠNH, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",106.7185184,10.791044,Mass Merchant
